# City to Timezone Mapping
# Format: CITY_NAME|TIMEZONE_ID|COUNTRY|DISPLAY_NAME

# Indian Cities (IST - Asia/Kolkata)
Lakhimpur|Asia/Kolkata|India|Lakhimpur, India
Achalpur|Asia/Kolkata|India|Achalpur, India
Paithan|Asia/Kolkata|India|Paithan, India
Rahuri|Asia/Kolkata|India|Rahuri, India
Nawanshahr|Asia/Kolkata|India|Nawanshahr, India
Sangamner|Asia/Kolkata|India|Sangamner, India
Shirpur|Asia/Kolkata|India|Shirpur, India
Parli|Asia/Kolkata|India|Parli, India
Shrigonda|Asia/Kolkata|India|Shrigonda, India
Shirdi|Asia/Kolkata|India|Shirdi, India
Raver|Asia/Kolkata|India|Raver, India
Mukhed|Asia/Kolkata|India|Mukhed, India
Rajura|Asia/Kolkata|India|Rajura, India
Vadgaon Kasba|Asia/Kolkata|India|Vadgaon Kasba, India
Tirora|Asia/Kolkata|India|Tirora, India
Mahad|Asia/Kolkata|India|Mahad, India
Lonavla|Asia/Kolkata|India|Lonavla, India
Talegaon Dabhade|Asia/Kolkata|India|Talegaon Dabhade, India
Anjangaon|Asia/Kolkata|India|Anjangaon, India
Umred|Asia/Kolkata|India|Umred, India
Palghar|Asia/Kolkata|India|Palghar, India
Shegaon|Asia/Kolkata|India|Shegaon, India
Ozhukarai|Asia/Kolkata|India|Ozhukarai, India
Phagwara|Asia/Kolkata|India|Phagwara, India
Uran|Asia/Kolkata|India|Uran, India
Pimpri-Chinchwad|Asia/Kolkata|India|Pimpri-Chinchwad, India
Bhiwani|Asia/Kolkata|India|Bhiwani, India
Patiala|Asia/Kolkata|India|Patiala, India
Saharanpur|Asia/Kolkata|India|Saharanpur, India
Bijnor|Asia/Kolkata|India|Bijnor, India
Bareilly|Asia/Kolkata|India|Bareilly, India
Moradabad|Asia/Kolkata|India|Moradabad, India
Aligarh|Asia/Kolkata|India|Aligarh, India
Mathura|Asia/Kolkata|India|Mathura, India
Shahjahanpur|Asia/Kolkata|India|Shahjahanpur, India
Hathras|Asia/Kolkata|India|Hathras, India
Rampur|Asia/Kolkata|India|Rampur, India
Modinagar|Asia/Kolkata|India|Modinagar, India
Roorkee|Asia/Kolkata|India|Roorkee, India
Manglaur|Asia/Kolkata|India|Manglaur, India
Deoband|Asia/Kolkata|India|Deoband, India
Uttarkashi|Asia/Kolkata|India|Uttarkashi, India
Mussoorie|Asia/Kolkata|India|Mussoorie, India
Tehri|Asia/Kolkata|India|Tehri, India
Uttarkashi|Asia/Kolkata|India|Uttarkashi, India
Chamoli|Asia/Kolkata|India|Chamoli, India
Rudraprayag|Asia/Kolkata|India|Rudraprayag, India
Pauri|Asia/Kolkata|India|Pauri, India
Champawat|Asia/Kolkata|India|Champawat, India
Almora|Asia/Kolkata|India|Almora, India
Bageshwar|Asia/Kolkata|India|Bageshwar, India
Pithoragarh|Asia/Kolkata|India|Pithoragarh, India
Chamoli|Asia/Kolkata|India|Chamoli, India
Rudraprayag|Asia/Kolkata|India|Rudraprayag, India
Pauri|Asia/Kolkata|India|Pauri, India
Champawat|Asia/Kolkata|India|Champawat, India
Almora|Asia/Kolkata|India|Almora, India
Bageshwar|Asia/Kolkata|India|Bageshwar, India
Pithoragarh|Asia/Kolkata|India|Pithoragarh, India
Chamoli|Asia/Kolkata|India|Chamoli, India
Rudraprayag|Asia/Kolkata|India|Rudraprayag, India
Pauri|Asia/Kolkata|India|Pauri, India
Champawat|Asia/Kolkata|India|Champawat, India
Almora|Asia/Kolkata|India|Almora, India
Bageshwar|Asia/Kolkata|India|Bageshwar, India
Pithoragarh|Asia/Kolkata|India|Pithoragarh, India
